id,chapter,title,start_at(JST),end_at(JST),event_type,main_chara,chara_type,ban,attr,pt_top10,pt_lines_1,pt_lines_10,pt_lines_20,pt_lines_50,pt_lines_100,pt_lines_200,pt_lines_300,pt_lines_400,pt_lines_500,pt_lines_1000,pt_lines_2000,pt_lines_3000,pt_lines_5000,pt_lines_10000,pt_lines_30000,pt_lines_50000,pt_lines_100000,pt_lines_300000
146,-,Rekindle the flame,2024/10/21 15:00,2024/10/29 21:00,マラソン,"khn, an, akt, toya, miku(VBS), rin(VBS), len(VBS), luka(VBS), meiko(VBS), kaito(VBS)",unit,akt,cool,370001112 351801112 343601112 339001112 335251112 320001112 315001112 311112525 300081010 282828282,370001112,282828282,200001112,155251112,105978364,51687758,40244859,34953765,33623648,24264820,10345286,7673739,6166990,4639676,2657015,2242200,1551125,463986
147,-,Happy Enjoy Music !,2024/10/31 15:00,2024/11/08 21:00,マラソン,"ick, saki, hnm, shiho, miku(Ln), rin(Ln), len(Ln), luka(Ln), meiko(Ln), kaito(Ln)",unit,saki,happy,360000509 359000509 309393939 278757520 276064509 275952095 228059624 215959509 214260509 210112516,360000509,210112516,150035649,100000000,62999509,29100108,23569155,20000509,18790726,13383149,6075301,4904750,4356560,3351795,2171745,1762966,1090089,323524
148,-,また、木の葉の色づく頃に,2024/11/10 15:00,2024/11/18 21:00,マラソン,"saki, shiho, szk, tks, rin(Ln)",mix,shiho,mysterious,312060108 302100108 195090108 180000108 163126108 159108126 153000108 144010108 144000108 140126108,312060108,140126108,100000000,61081206,48734081,19999928,15597779,12808186,11989737,8474361,4491582,3872840,3618262,2927054,1936904,1571475,965869,286535
149,-,The Power Of Regret,2024/11/20 15:00,2024/11/28 21:00,マラソン,"tks, emu, nene, rui, miku(WS), rin(WS), len(WS), luka(WS), meiko(WS), kaito(WS)",unit,nene,pure,352000720 345720720 300000000 288909720 277299720 276240720 276127000 275390720 240778720 220000720,352000720,220000720,150000731,97703286,68514942,31426305,25434853,21024720,19900239,13886808,6190886,4958635,4415573,3388218,2133840,1736650,1060290,302287
150,-,傷だらけの手で、私達は,2024/11/30 15:00,2024/12/09 21:00,マラソン,"knd, mfy, ena, mzk, miku(25ji), rin(25ji), len(25ji), luka(25ji), meiko(25ji), kaito(25ji)",unit,ena,cool,410000430 400000430 390000430 360827430 334301112 325853430 300827430 300000430 282233430 265000430,410000430,265000430,228270430,200000430,151318400,82006308,62916838,53244229,50489739,40527218,16358145,11898578,9029885,5781620,3085843,2508380,1592450,492873
151,-,Grow glorious glow,2024/12/11 15:00,2024/12/19 21:00,マラソン,"mnr, hrk, airi, szk, miku(MMJ), rin(MMJ), len(MMJ), luka(MMJ), meiko(MMJ), kaito(MMJ)",unit,szk,happy,334291206 312061206 308271206 250001206 230001206 212320879 200001206 183191027 150001206 145902386,334291206,145902386,113191197,81127615,51320304,22631984,17469000,15066604,14249148,9930098,4890744,4042536,3713343,2943035,1921975,1540994,932890,275795
152,-,Special present for YOU！,2024/12/21 15:00,2024/12/29 21:00,マラソン,"khn, akt, emu, rui, luka(VBS)",mix,rui,pure,331225624 320909624 313032624 301225624 282525624 251762439 242070624 203971202 190000624 189302624,331225624,189302624,162400624,115115624,95909302,34660666,25875401,22020624,20473716,15099257,5909416,4660624,4119895,3145905,2010154,1637419,1022752,331720
153,-,Unfading wishing,2024/12/31 15:00,2025/01/09 21:00,マラソン,"airi, akt, toya, ena, kaito(MMJ)",mix,akt,cute,381112525 366250210 358726319 350251112 311120525 285251112 274301112 270001112 263191112 240001112,381112525,240001112,146711112,111200000,71003564,31939521,24213923,20516883,19595953,13296861,6720636,5558568,5011452,3889707,2497844,2016568,1251589,411561
154,-,Time to take off！,2025/01/11 15:00,2025/01/19 21:00,マラソン,"khn, an, akt, toya, miku(VBS), rin(VBS), len(VBS), luka(VBS), meiko(VBS), kaito(VBS)",unit,toya,happy,350000525 340000525 302525826 285251112 252526839 242402525 240000108 237037197 225258632 212121525,350000525,212121525,150000000,105331388,70770962,33237840,26268773,22356031,21615730,15386245,7473981,6117095,5334041,4100108,2568984,2087705,1339240,421120
155,-,Show your shine,2025/01/21 15:00,2025/01/29 21:00,マラソン,"ick, saki, khn, knd, rin(25ji)",mix,knd,cool,345000000 341227210 310270108 252525210 225000210 202525210 178111005 159210319 158942554 151940210,345000000,151940210,101827100,76999237,49114178,27431300,21571696,18975264,18226887,12897998,6706843,5419567,4724989,3604249,2318115,1925270,1263523,433615
156,-,このひと針に想いを込めて,2025/01/31 15:00,2025/02/08 21:00,マラソン,"hrk, szk, mfy, mzk, len(MMJ)",mix,szk,happy,316000000 300001206 262141206 251271206 223787096 201206624 188888888 160001206 151561206 139126127,316000000,139126127,88801206,67001207,51324672,21000414,16322233,13896104,13142401,9274905,5591582,4818228,4335507,3393399,2243289,1864756,1224924,422305
157,-,Rise and Strive,2025/02/10 15:00,2025/02/18 21:00,マラソン,"mnr, hrk, airi, szk, miku(MMJ), rin(MMJ), len(MMJ), luka(MMJ), meiko(MMJ), kaito(MMJ)",unit,hrk,mysterious,321301005 261051005 250001005 240001005 234141005 230001005 221101005 215001005 205001005 194251005,321301005,194251005,122502250,83001005,63610414,30005471,23600414,18543769,17896625,12574140,5880888,4783136,4261248,3279030,2170240,1808555,1180817,404970
158,-,昔日のRead-aloud,2025/02/20 15:00,2025/02/26 21:00,マラソン,"ick, hnm, nene, rui, meiko(Ln)",mix,hnm,cute,270811027 260000000 250811027 234567890 223921027 187371027 183601027 181027720 172001027 171151027,270811027,171151027,110001027,56401027,43148055,17368361,12767952,10502025,9461057,6388346,3711190,3249210,2998710,2330284,1552115,1288527,840889,284010
159,-,Connect hearts message,2025/02/28 15:00,2025/03/08 21:00,マラソン,"saki, shiho, emu, rin(Ln), meiko(WS)",mix,saki,pure,314000509 300000000 250939509 231539509 230000509 225591899 166111259 142590909 130000509 115319509,314000509,115319509,87624509,58002175,46532828,21537582,17460099,15014022,14117689,9942020,5349090,4561225,4147794,3218891,2108920,1749275,1128671,363060
160,-,You are my HERO!!,2025/03/10 15:00,2025/03/18 21:00,マラソン,"mnr, airi, tks, nene, mzk",mix,tks,mysterious,320000000 315000517 300088517 280880517 274517319 235170827 232517720 230000517 210051720 202222517,320000000,202222517,174000517,114751566,70000517,36161737,27320083,23456789,22765211,16663043,6516826,5170918,4516372,3392543,2146960,1785563,1159591,379460
161,-,Unreliable Notes,2025/03/20 15:00,2025/03/28 21:00,マラソン,"knd, mfy, ena, mzk, miku(25ji), rin(25ji), len(25ji), luka(25ji), meiko(25ji), kaito(25ji)",unit,knd,cool,370000210 363000210 353160210 285025210 280000210 270414210 261270210 252500210 215000210 210000000,370000210,210000000,170652181,132500210,104599910,50774864,40265364,34729966,32149410,23141732,10701788,8086809,6405981,4330549,2510296,2082877,1348764,439152
162,-,Find the dream view,2025/03/30 15:00,2025/04/06 21:00,マラソン,"ick, saki, hnm, shiho, miku(Ln), rin(Ln), len(Ln), luka(Ln), meiko(Ln), kaito(Ln)",unit,shiho,cool,300000108 275091027 265008110 259321741 252541108 241769997 240108509 232000108 225000108 220108523,300000108,220108523,130496406,109120108,80000000,39775204,30985043,26922847,25737228,19517722,9090909,7147485,6172761,4696768,2808254,2417025,1807660,641945
163,-,Turning Pain into Drive,2025/04/08 20:00,2025/04/20 20:00,ワールドリンク,"khn, an, akt, toya, miku(VBS), rin(VBS), len(VBS), luka(VBS), meiko(VBS), kaito(VBS)",unit,-,-,815000000 665000726 600525302 547000302 531112525 515151726 501112525 500000302 485251112 461112525,815000000,461112525,369124140,283236121,224076402,176592718,151363134,137726733,130092086,84821911,58990439,48127924,31191966,16294469,7279405,5459581,3302113,825780
163,1,Turning Pain into Drive,2025/04/08 20:00,2025/04/11 20:00,ワールドリンク,"khn, an, akt, toya, miku(VBS), rin(VBS), len(VBS), luka(VBS), meiko(VBS), kaito(VBS)",unit,toya,-,222000525 215000525 210000525 205250505 200501525 200038025 191525108 191112525 184272647 181981900,222000525,181981900,160000525,141131525,132479680,71588852,,,51665305,45245626,,11646589,7352353,4204354,,1404676,886047,
